price,sqft,bedrooms,bathrooms,location,year_built,condition
2870000,6000,2,1.0,Suburb,1968,Fair
2870000,5400,4,1.0,Suburb,1986,Poor
2852500,5200,4,1.0,Suburb,2005,Poor
2835000,3300,3,1.0,Rural,1989,Fair
2835000,4350,3,1.0,Rural,2002,Poor
2835000,2640,2,1.0,Rural,1989,Good
2800000,2650,3,1.0,Suburb,1995,Poor
2800000,3960,3,1.0,Suburb,1979,Good
2730000,6800,2,1.0,Suburb,1966,Poor
2730000,4000,3,1.0,Suburb,1981,Poor
2695000,4000,2,1.0,Suburb,1959,Poor
2660000,3934,2,1.0,Suburb,1969,Poor
2660000,2000,2,1.0,Suburb,2002,Fair
2660000,3630,3,3.0,Rural,1982,Poor
2660000,2800,3,1.0,Suburb,1959,Poor
2660000,2430,3,1.0,Rural,1981,Poor
2660000,3480,2,1.0,Suburb,1993,Fair
2660000,4000,3,1.0,Suburb,1989,Fair
2653000,3185,2,1.0,Suburb,1965,Poor
2653000,4000,3,1.0,Suburb,1983,Poor
2604000,2910,2,1.0,Rural,1976,Poor
2590000,3600,2,1.0,Suburb,1964,Poor
2590000,4400,2,1.0,Suburb,1965,Poor
2590000,3600,2,2.0,Suburb,1974,Good
2520000,2880,3,1.0,Rural,1994,Poor
2520000,3180,3,1.0,Rural,1984,Poor
2520000,3000,2,1.0,Suburb,1998,Good
2485000,4400,3,1.0,Suburb,1997,Poor
2485000,3000,3,1.0,Rural,2003,Fair
2450000,3210,3,1.0,Suburb,1969,Poor
2450000,3240,2,1.0,Rural,1990,Poor
2450000,3000,2,1.0,Suburb,1957,Poor
2450000,3500,2,1.0,Suburb,1974,Poor
2450000,4840,2,1.0,Suburb,1988,Poor
2450000,7700,2,1.0,Suburb,1969,Poor
2408000,3635,2,1.0,Rural,1960,Poor
2380000,2475,3,1.0,Suburb,1972,Good
2380000,2787,4,2.0,Suburb,1997,Good
2380000,3264,2,1.0,Suburb,1967,Poor
2345000,3640,2,1.0,Suburb,1967,Poor
2310000,3180,2,1.0,Suburb,1991,Poor
2275000,1836,2,1.0,Rural,1960,Fair
2275000,3970,1,1.0,Rural,1991,Poor
2275000,3970,3,1.0,Suburb,2001,Poor
2240000,1950,3,1.0,Rural,1978,Poor
2233000,5300,3,1.0,Waterfront,1961,Poor
2135000,3000,2,1.0,Rural,1961,Poor
2100000,2400,3,1.0,Suburb,1976,Poor
2100000,3000,4,1.0,Suburb,1988,Poor
2100000,3360,2,1.0,Suburb,1961,Poor
1960000,3420,5,1.0,Rural,1983,Poor
1890000,1700,3,1.0,Suburb,1969,Poor
1890000,3649,2,1.0,Suburb,1976,Poor
1855000,2990,2,1.0,Rural,1955,Poor
1820000,3000,2,1.0,Suburb,1983,Poor
1767150,2400,3,1.0,Rural,1957,Fair
1750000,3620,2,1.0,Suburb,1962,Poor
1750000,2910,3,1.0,Rural,1961,Good
1750000,3850,3,1.0,Suburb,1998,Poor
